"","NP","date","n.uptake.ug.m2.sec.2.5%","n.uptake.ug.m2.sec.50%","n.uptake.ug.m2.sec.97.5%","n.status","binary","nutrient"
"1",  8,2011-08-03,-13.18406267, -9.32437476, -5.36939770,"release",-1,"DIN"
"2", 32,2011-08-03,-15.62107212,-11.78097185, -8.39893446,"release",-1,"DIN"
"3",  8,2011-08-22,  3.54949235,  3.98409667,  4.77772014,"uptake", 1,"DIN"
"4", 32,2011-08-22,-28.76978894,-22.12455202,-16.26095634,"release",-1,"DIN"
"5",  2,2011-09-06,  1.82153481,  1.98012675,  2.23930083,"uptake", 1,"DIN"
"6",  8,2011-09-06,  8.83337045,  9.96255178, 11.45044996,"uptake", 1,"DIN"
"7", 16,2011-09-06,-17.11625762, -4.61352122,  3.02385805,"balanced", 0,"DIN"
"8", 32,2011-09-06,  1.31698881,  1.68857098,  2.15779593,"uptake", 1,"DIN"
"9",128,2011-09-06,  4.16691486,  7.26521286,  9.93917315,"uptake", 1,"DIN"
"10",  2,2011-10-10, -0.23049950,  0.08208411,  0.22966669,"balanced", 0,"DIN"
"11", 32,2011-10-10, -8.52663233, -5.75946670, -3.48719481,"release",-1,"DIN"
"12",128,2011-10-10,-11.37564965, -2.09825012,  2.27596579,"balanced", 0,"DIN"
"13",  2,2011-10-24,  1.17000119,  1.38759229,  1.79917771,"uptake", 1,"DIN"
"14",  8,2011-10-24,-28.30155081,-22.75518101,-16.60175406,"release",-1,"DIN"
"15", 16,2011-10-24,-24.38383131,-10.67493885, -1.61146705,"release",-1,"DIN"
"16", 32,2011-10-24, -5.18230004, -3.48318612, -1.96830877,"release",-1,"DIN"
"17",128,2011-10-24, -9.58668962, -4.79665383, -1.75792938,"release",-1,"DIN"
"18",  2,2011-11-06,  0.47302083,  0.62315273,  0.74795508,"uptake", 1,"DIN"
"19",  8,2011-11-06,-50.71899933,-41.28667182,-30.64205699,"release",-1,"DIN"
"20", 16,2011-11-06,-30.73803607,-16.76897488, -7.80217172,"release",-1,"DIN"
"21", 32,2011-11-06, -8.98073945, -6.72830581, -4.74045025,"release",-1,"DIN"
"22",128,2011-11-06,-10.27954315, -6.65731411, -4.05455567,"release",-1,"DIN"
"23",  2,2011-11-21, -4.58759576, -3.43890257, -2.39614798,"release",-1,"DIN"
"24", 16,2011-11-21,-28.39727007,-14.22298768, -3.96432071,"release",-1,"DIN"
"25", 32,2011-11-21,  4.73041801,  5.72019272,  6.89525770,"uptake", 1,"DIN"
"26",128,2011-11-21, -8.56881092, -5.09631306, -2.17002251,"release",-1,"DIN"
"27",  2,2011-12-04, -5.53607941, -2.77656205, -0.96308135,"release",-1,"DIN"
"28", 16,2011-12-18,  7.51899958,  9.22066942, 11.22455646,"uptake", 1,"DIN"
"29", 32,2011-12-18,  6.58182183,  7.92561491,  9.46777675,"uptake", 1,"DIN"
"30",  2,2011-12-30,  7.41611781,  9.45211471, 12.27874512,"uptake", 1,"DIN"
"31", 32,2011-12-30,  2.92792976,  3.65748489,  4.47284410,"uptake", 1,"DIN"
"32",128,2011-12-30,  1.28998645,  3.14573902,  4.58242234,"uptake", 1,"DIN"
"33",  2,2012-01-23, -2.29397420,  1.03891140,  3.26983399,"balanced", 0,"DIN"
"34",  8,2012-01-23,-26.74131032,-20.73546164,-14.71923927,"release",-1,"DIN"
"35", 16,2012-01-23, 12.51360180, 17.25067005, 23.91422434,"uptake", 1,"DIN"
"36", 32,2012-01-23, 14.71145605, 19.50049926, 24.24240916,"uptake", 1,"DIN"
"37",128,2012-01-23, 12.87623693, 16.43215047, 19.74837331,"uptake", 1,"DIN"
"38",  2,2012-02-06, -1.59564141, -0.53882002,  0.23889777,"balanced", 0,"DIN"
"39",  8,2012-02-06, 11.18599341, 12.47383935, 14.26429982,"uptake", 1,"DIN"
"40", 16,2012-02-06,  5.02389780,  7.33112246,  9.23262912,"uptake", 1,"DIN"
"41", 32,2012-02-06,  2.38644794,  2.86137911,  3.44497490,"uptake", 1,"DIN"
"42",128,2012-02-06, -8.77016572, -3.87412902, -0.28106814,"release",-1,"DIN"
"43",  2,2012-03-12,  1.88473698,  2.04074608,  2.25267212,"uptake", 1,"DIN"
"44", 16,2012-03-12, -8.26611537,  3.32692777, 13.40646910,"balanced", 0,"DIN"
"45", 32,2012-03-12,  2.82111479,  3.37227747,  4.02078776,"uptake", 1,"DIN"
"46",128,2012-03-12,  1.81846390,  6.03137997,  9.85101873,"uptake", 1,"DIN"
"47",  8,2012-04-09,  7.76997926,  8.38201475,  9.63467935,"uptake", 1,"DIN"
"48", 16,2012-04-09, -5.09866876,  2.85203919,  8.53207776,"balanced", 0,"DIN"
"49", 32,2012-04-09, -2.96742435, -1.58385202, -0.31607859,"release",-1,"DIN"
"50",128,2012-04-09,  7.95864176, 11.34407670, 14.36364301,"uptake", 1,"DIN"
"51",  2,2012-04-21,  1.80413631,  2.25265773,  2.71512328,"uptake", 1,"DIN"
"52",  8,2012-04-21,  9.86593584, 10.63651709, 11.71132389,"uptake", 1,"DIN"
"53", 16,2012-04-21,  7.96431406, 18.75312487, 31.51953195,"uptake", 1,"DIN"
"54", 32,2012-04-21,  3.60172045,  4.38351816,  5.24700654,"uptake", 1,"DIN"
"55",  2,2012-05-07, -3.20075014, -2.16811865, -1.42987622,"release",-1,"DIN"
"56",  8,2012-05-07,-12.48313108, -8.95662469, -5.46137822,"release",-1,"DIN"
"57", 16,2012-05-07,-23.97293177,-10.59793683, -2.10992182,"release",-1,"DIN"
"58", 32,2012-05-07,  0.97300183,  1.67163721,  2.39576732,"uptake", 1,"DIN"
"59",128,2012-05-07,  9.63260759, 16.22846013, 21.84490554,"uptake", 1,"DIN"
"60",  2,2012-05-17,  1.13226745,  1.24795034,  1.41286331,"uptake", 1,"DIN"
"61",  8,2012-05-17, 16.51391321, 18.36544724, 20.85409426,"uptake", 1,"DIN"
"62", 16,2012-05-17,  5.00470878,  7.67887825,  9.91610377,"uptake", 1,"DIN"
"63", 32,2012-05-17,  2.00990725,  2.33387814,  2.71233783,"uptake", 1,"DIN"
"64",128,2012-05-17, 15.21635989, 19.54694579, 23.49354285,"uptake", 1,"DIN"
"65",  2,2012-05-31,  0.41303626,  0.50275898,  0.66022712,"uptake", 1,"DIN"
"66",  8,2012-05-31,  5.26593279,  5.76734273,  6.93144987,"uptake", 1,"DIN"
"67", 16,2012-05-31, -1.02246612,  3.20830313,  5.73529620,"balanced", 0,"DIN"
"68", 32,2012-05-31, -0.95403602,  0.14326688,  1.16728414,"balanced", 0,"DIN"
"69",128,2012-05-31,  8.03533804, 13.71764535, 18.05225809,"uptake", 1,"DIN"
"70",  2,2012-06-15, -0.01570055,  0.15809074,  0.27367341,"balanced", 0,"DIN"
"71",  8,2012-06-15, -4.28427669, -2.51846220, -0.61317961,"release",-1,"DIN"
"72", 16,2012-06-15,  4.49169101,  7.52018089, 10.20938687,"uptake", 1,"DIN"
"73", 32,2012-06-15,  2.43196358,  3.07844959,  3.84046819,"uptake", 1,"DIN"
"74",128,2012-06-15, 18.78090167, 23.32127101, 29.08016597,"uptake", 1,"DIN"
"75",  2,2012-07-01, -0.05520344,  0.05486966,  0.11790937,"balanced", 0,"DIN"
"76",  8,2012-07-01,  1.80639154,  2.34749527,  3.06324230,"uptake", 1,"DIN"
"77", 32,2012-07-01, -5.16918974, -2.95448605, -1.09767158,"release",-1,"DIN"
"78",128,2012-07-01, -0.09536612,  8.83811150, 15.12878232,"balanced", 0,"DIN"
"79",  2,2012-08-14,  0.45038227,  0.66899695,  0.85657520,"uptake", 1,"DIN"
"80",  8,2012-08-14,-52.13490531,-40.84702443,-29.97358679,"release",-1,"DIN"
"81", 32,2012-08-14,  2.56840491,  3.08869906,  3.74935193,"uptake", 1,"DIN"
"82",128,2012-08-14,  0.52712973,  3.66674560,  6.38906115,"uptake", 1,"DIN"
"83",  2,2012-08-27, -0.62010912, -0.14504629,  0.10080711,"balanced", 0,"DIN"
"84",  8,2012-08-27, -2.32628709, -1.77105048, -1.27172914,"release",-1,"DIN"
"85", 32,2012-08-27, -1.04734574,  0.10641023,  1.11255980,"balanced", 0,"DIN"
"86",128,2012-08-27,-13.62604639, -3.81627741,  1.50355764,"balanced", 0,"DIN"
"87",  2,2012-09-06, -0.82127434, -0.37093880, -0.02560068,"release",-1,"DIN"
"88",  8,2012-09-06, -8.18638375, -5.63701669, -3.11040542,"release",-1,"DIN"
"89", 32,2012-09-06,  3.40334519,  4.09921106,  5.17283298,"uptake", 1,"DIN"
"90",128,2012-09-06,  9.87424575, 13.47913319, 16.69709916,"uptake", 1,"DIN"
"91",  2,2012-09-19,  0.71935432,  0.95980593,  1.17430307,"uptake", 1,"DIN"
"92",  8,2012-09-19, -4.07034915, -2.31413123, -0.40786940,"release",-1,"DIN"
"93", 32,2012-09-19,  0.16043457,  0.98075786,  1.77762409,"uptake", 1,"DIN"
"94",128,2012-09-19, 16.47139923, 20.18401253, 23.86386638,"uptake", 1,"DIN"
"95",  2,2012-10-22, -0.16747680,  0.72128058,  1.37149386,"balanced", 0,"DIN"
"96",  8,2012-10-22, -6.85167418, -3.89977633,  0.06973417,"balanced", 0,"DIN"
"97", 32,2012-10-22, -0.04349708,  0.93450286,  1.87059720,"balanced", 0,"DIN"
"98",128,2012-10-22,-24.58462836,-14.53285428, -7.03435978,"release",-1,"DIN"
"99",  2,2012-11-08, -2.24561584, -0.92215212,  0.03363140,"balanced", 0,"DIN"
"100",  8,2012-11-08,-16.43878092,-12.55373631, -7.99819768,"release",-1,"DIN"
"101", 32,2012-11-08,  1.20628603,  2.10292479,  3.01869446,"uptake", 1,"DIN"
"102",128,2012-11-08,-10.68013611, -4.58467091, -0.06939182,"release",-1,"DIN"
"103",  2,2012-11-20, -3.83065635, -2.78773331, -1.82349594,"release",-1,"DIN"
"104",  8,2012-11-20,-21.24863305,-16.72622654,-12.19621906,"release",-1,"DIN"
"105", 32,2012-11-20, -4.57357284, -2.64903958, -0.85511283,"release",-1,"DIN"
"106",128,2012-11-20,-38.33279405,-28.50489533,-20.81089693,"release",-1,"DIN"
"107",  2,2012-12-03, -4.61290064, -3.34428439, -2.17453798,"release",-1,"DIN"
"108",  8,2012-12-03,-13.20533856, -9.88100995, -6.65866808,"release",-1,"DIN"
"109", 32,2012-12-03,  0.56401989,  1.40454373,  2.23755756,"uptake", 1,"DIN"
"110",  8,2012-12-19,-35.81016254,-29.21188310,-23.18663209,"release",-1,"DIN"
"111", 32,2012-12-19, -3.33313983, -1.85933753, -0.52548053,"release",-1,"DIN"
"112",128,2012-12-19,-52.97973842,-30.87614350,-16.86571255,"release",-1,"DIN"
"113",  2,2013-01-04, -0.53900953,  0.52807882,  1.29941885,"balanced", 0,"DIN"
"114",  8,2013-01-04,-38.72731270,-31.66560349,-24.12429400,"release",-1,"DIN"
"115", 32,2013-01-04,  3.31668785,  3.77414609,  4.33998698,"uptake", 1,"DIN"
"116",128,2013-01-04,-14.59650406, -5.78151551,  0.65491638,"balanced", 0,"DIN"
"117",  2,2013-01-18,  4.69373999, 11.38350424, 26.37260074,"uptake", 1,"DIN"
"118",  8,2013-01-18, 10.79159172, 17.84059911, 27.29789242,"uptake", 1,"DIN"
"119",128,2013-01-18,-35.05314092,  7.51547046, 28.92218263,"balanced", 0,"DIN"
"120",  2,2013-01-31, -5.92098503, -2.41258563, -0.35477630,"release",-1,"DIN"
"121",  8,2013-01-31, -2.69671150, -2.02986852, -1.38965128,"release",-1,"DIN"
"122", 32,2013-01-31, 15.40714044, 20.95035200, 26.58161428,"uptake", 1,"DIN"
"123",128,2013-01-31, 50.25496250, 61.66177563, 72.44304630,"uptake", 1,"DIN"
"124",  8,2013-02-11, 10.97238594, 12.17044886, 13.83326914,"uptake", 1,"DIN"
"125", 32,2013-02-11,  5.31700453,  7.08263762,  8.82088112,"uptake", 1,"DIN"
"126",  8,2013-02-26, 12.09226541, 13.56656480, 15.56663038,"uptake", 1,"DIN"
"127", 32,2013-02-26,  9.24101436, 11.53246220, 13.75676059,"uptake", 1,"DIN"
"128",  2,2013-03-12, -0.33243104,  0.28405130,  0.76034577,"balanced", 0,"DIN"
"129",  8,2013-03-12, -3.67387727, -2.06288816, -0.23115881,"release",-1,"DIN"
"130", 16,2013-03-12,  1.64836655,  3.29848100,  4.54621899,"uptake", 1,"DIN"
"131", 32,2013-03-12,  0.39444148,  1.29602749,  2.19845104,"uptake", 1,"DIN"
"132",128,2013-03-12, -5.72520811, -4.50073354, -3.52562654,"release",-1,"DIN"
"133",  2,2013-04-10,  0.08192292,  0.41728223,  0.69175442,"uptake", 1,"DIN"
"134",  8,2013-04-10,  0.24671515,  0.86104606,  1.55775995,"uptake", 1,"DIN"
"135", 16,2013-04-10, -9.73544005, -2.43418698,  2.63127164,"balanced", 0,"DIN"
"136", 32,2013-04-10,  0.65144656,  1.37380498,  2.10590745,"uptake", 1,"DIN"
"137",128,2013-04-10, 14.97122522, 24.03914027, 31.94441518,"uptake", 1,"DIN"
"138",  2,2013-04-25, -1.96825037, -0.75927412,  0.13056353,"balanced", 0,"DIN"
"139",  2,2013-05-10,  1.23739186,  1.98674245,  2.67663213,"uptake", 1,"DIN"
"140",  8,2013-05-10,  8.89594521,  9.87312115, 11.12437553,"uptake", 1,"DIN"
"141", 16,2013-05-10,  2.65182284, 10.91677071, 20.08671707,"uptake", 1,"DIN"
"142", 32,2013-05-10,  6.54331607,  7.46581306,  8.48545664,"uptake", 1,"DIN"
"143",128,2013-05-10, -5.08319276,  0.69853213,  4.95945625,"balanced", 0,"DIN"
"144",  2,2013-05-24,  1.66524430,  1.81489269,  1.98552975,"uptake", 1,"DIN"
"145",  8,2013-05-24,  3.41509336,  3.77037820,  4.45516114,"uptake", 1,"DIN"
"146", 16,2013-05-24,  1.15409124, 10.88691564, 21.50518039,"uptake", 1,"DIN"
"147", 32,2013-05-24,  5.12448392,  5.69530530,  6.36795231,"uptake", 1,"DIN"
"148",128,2013-05-24, 11.51489533, 19.59825334, 27.17462728,"uptake", 1,"DIN"
"149",  2,2013-06-07,  1.54010712,  1.78057482,  2.22671784,"uptake", 1,"DIN"
"150",  8,2013-06-07,  1.13353416,  1.64206261,  2.28821238,"uptake", 1,"DIN"
"151", 16,2013-06-07,  0.99174501,  3.75769435,  5.76270807,"uptake", 1,"DIN"
"152", 32,2013-06-07,  3.01972649,  3.45805243,  3.99734037,"uptake", 1,"DIN"
"153",128,2013-06-07,  0.53735285,  0.68276841,  0.88239436,"uptake", 1,"DIN"
"154",  2,2013-06-24, -2.74349091, -1.71599953, -1.09411517,"release",-1,"DIN"
"155",  8,2013-06-24, -1.71401288, -0.57835948,  0.56677920,"balanced", 0,"DIN"
"156", 16,2013-06-24, -9.41631939, -2.67179582,  2.03101686,"balanced", 0,"DIN"
"157", 32,2013-06-24, -2.88315948, -1.59347461, -0.38785980,"release",-1,"DIN"
"158",128,2013-06-24,  1.99398560,  2.53562489,  3.29865510,"uptake", 1,"DIN"
"159",  2,2013-07-08,  4.02215402,  4.95496219,  6.08434657,"uptake", 1,"DIN"
"160",  8,2013-07-08,  4.47632816,  6.75360357,  9.31732628,"uptake", 1,"DIN"
"161", 16,2013-07-08, 17.17323315, 25.68578963, 43.70523983,"uptake", 1,"DIN"
"162", 32,2013-07-08,  7.96712299,  9.33919788, 10.72726591,"uptake", 1,"DIN"
"163",128,2013-07-08, -0.83988703, -0.55819816, -0.37089111,"release",-1,"DIN"
"164",  2,2013-07-22,  1.95954416,  2.11728098,  2.30786382,"uptake", 1,"DIN"
"165",  8,2013-07-22,  7.19970981,  7.96701196,  8.89547865,"uptake", 1,"DIN"
"166", 16,2013-07-22, -3.65639686,  2.86624656,  7.45152503,"balanced", 0,"DIN"
"167", 32,2013-07-22,  7.11254663,  7.89967605,  8.77480059,"uptake", 1,"DIN"
"168",128,2013-07-22,-47.89330198,-37.63059658,-29.25271873,"release",-1,"DIN"
