"","NP","date","p.uptake.ug.m2.sec.2.5%","p.uptake.ug.m2.sec.50%","p.uptake.ug.m2.sec.97.5%","p.status","binary","nutrient"
"1","2",2011-07-25, 4.431190e-01, 5.907771e-01, 7.912171e-01,"uptake", 1.1,"SRP"
"2","8",2011-07-25,-2.367179e+00,-9.037145e-01, 6.633066e-01,"balanced", 0.1,"SRP"
"3","2",2011-08-03,-4.782478e-01, 2.825820e-02, 2.434991e-01,"balanced", 0.1,"SRP"
"4","32",2011-08-03,-1.695799e+00,-1.274307e+00,-9.029584e-01,"release",-0.9,"SRP"
"5","128",2011-08-03,-3.000168e-01,-1.049779e-01,-1.142599e-02,"release",-0.9,"SRP"
"6","8",2011-08-22,-7.340268e+00,-5.280433e+00,-3.217533e+00,"release",-0.9,"SRP"
"7","16",2011-08-22,-7.647418e+00,-4.294165e+00,-1.866132e+00,"release",-0.9,"SRP"
"8","32",2011-08-22,-9.208093e-01,-6.580884e-01,-4.274443e-01,"release",-0.9,"SRP"
"9","2",2011-09-06, 1.437970e+00, 1.715849e+00, 1.964680e+00,"uptake", 1.1,"SRP"
"10","8",2011-09-06,-9.914206e+00,-7.516386e+00,-4.838895e+00,"release",-0.9,"SRP"
"11","16",2011-09-06,-3.012937e+00,-8.797468e-01, 3.838572e-01,"balanced", 0.1,"SRP"
"12","32",2011-09-06,-2.547554e-01,-1.161499e-01, 6.770106e-03,"balanced", 0.1,"SRP"
"13","128",2011-09-06,-1.190824e-01,-3.127634e-02, 3.510489e-02,"balanced", 0.1,"SRP"
"14","2",2011-10-10, 2.258762e-02, 2.740186e-01, 4.685488e-01,"uptake", 1.1,"SRP"
"15","16",2011-10-10,-2.493756e+00,-1.820676e-01, 9.616084e-01,"balanced", 0.1,"SRP"
"16","32",2011-10-10,-6.084127e-01,-3.857962e-01,-2.009543e-01,"release",-0.9,"SRP"
"17","128",2011-10-10, 9.573544e-02, 1.218681e-01, 1.602086e-01,"uptake", 1.1,"SRP"
"18","2",2011-10-24,-6.040940e-01,-5.379759e-02, 2.826741e-01,"balanced", 0.1,"SRP"
"19","32",2011-10-24,-4.575367e-01,-2.931855e-01,-1.435477e-01,"release",-0.9,"SRP"
"20","128",2011-10-24, 1.158912e-01, 1.293180e-01, 1.469604e-01,"uptake", 1.1,"SRP"
"21","2",2011-11-06,-1.994154e+00,-1.188985e+00,-5.938096e-01,"release",-0.9,"SRP"
"22","16",2011-11-06,-4.221688e+00,-2.265187e+00,-1.007075e+00,"release",-0.9,"SRP"
"23","32",2011-11-06,-1.207249e+00,-9.156062e-01,-6.573372e-01,"release",-0.9,"SRP"
"24","128",2011-11-06, 1.096538e-01, 1.187546e-01, 1.314282e-01,"uptake", 1.1,"SRP"
"25","2",2011-11-21,-4.559820e-01, 7.079590e-02, 5.302604e-01,"balanced", 0.1,"SRP"
"26","8",2011-11-21,-2.905075e+01,-2.186172e+01,-1.331937e+01,"release",-0.9,"SRP"
"27","16",2011-11-21,-2.522379e+00,-9.242587e-01, 2.370818e-01,"balanced", 0.1,"SRP"
"28","32",2011-11-21,-3.975925e-01,-2.459596e-01,-1.118507e-01,"release",-0.9,"SRP"
"29","128",2011-11-21, 3.861218e-01, 4.380485e-01, 5.035959e-01,"uptake", 1.1,"SRP"
"30","2",2011-12-04,-3.899546e-01, 1.212647e+00, 2.426454e+00,"balanced", 0.1,"SRP"
"31","8",2011-12-04, 4.828094e-01, 1.235024e+00, 2.123486e+00,"uptake", 1.1,"SRP"
"32","16",2011-12-04, 1.998568e+00, 3.040493e+00, 4.374814e+00,"uptake", 1.1,"SRP"
"33","32",2011-12-04, 8.660184e-02, 1.377387e-01, 1.883780e-01,"uptake", 1.1,"SRP"
"34","128",2011-12-04, 4.163522e-01, 5.064738e-01, 6.266371e-01,"uptake", 1.1,"SRP"
"35","2",2011-12-18,-1.028044e+00, 1.003185e+00, 2.471992e+00,"balanced", 0.1,"SRP"
"36","8",2011-12-18,-2.035347e+00,-1.030163e+00, 4.446066e-02,"balanced", 0.1,"SRP"
"37","16",2011-12-18, 4.092101e-01, 9.253175e-01, 1.304264e+00,"uptake", 1.1,"SRP"
"38","32",2011-12-18, 5.102348e-02, 1.037615e-01, 1.577640e-01,"uptake", 1.1,"SRP"
"39","2",2011-12-30,-2.292040e+00, 2.221705e-02, 1.634385e+00,"balanced", 0.1,"SRP"
"40","8",2011-12-30, 6.760598e+00, 7.642706e+00, 8.909209e+00,"uptake", 1.1,"SRP"
"41","16",2011-12-30, 9.052227e-01, 1.216065e+00, 1.482480e+00,"uptake", 1.1,"SRP"
"42","2",2012-01-23,-6.985020e+00,-6.824892e-01, 3.151957e+00,"balanced", 0.1,"SRP"
"43","8",2012-01-23,-1.184742e+01,-9.186597e+00,-6.521182e+00,"release",-0.9,"SRP"
"44","16",2012-01-23, 2.129830e+00, 2.835505e+00, 3.862266e+00,"uptake", 1.1,"SRP"
"45","32",2012-01-23, 1.170785e-01, 2.449906e-01, 3.649970e-01,"uptake", 1.1,"SRP"
"46","128",2012-01-23, 1.277503e-01, 1.973851e-01, 2.574490e-01,"uptake", 1.1,"SRP"
"47","2",2012-02-06,-2.039395e-01, 8.029083e-01, 1.564605e+00,"balanced", 0.1,"SRP"
"48","8",2012-02-06,-8.887325e-01, 2.473115e-01, 1.618046e+00,"balanced", 0.1,"SRP"
"49","16",2012-02-06,-2.580307e-01, 4.145329e-01, 8.824080e-01,"balanced", 0.1,"SRP"
"50","32",2012-02-06, 1.688889e-01, 2.311568e-01, 2.958470e-01,"uptake", 1.1,"SRP"
"51","128",2012-02-06, 1.049106e-01, 1.279160e-01, 1.495247e-01,"uptake", 1.1,"SRP"
"52","32",2012-02-27, 2.033396e-01, 2.630121e-01, 3.300513e-01,"uptake", 1.1,"SRP"
"53","2",2012-03-12, 4.177011e-01, 8.155703e-01, 1.162263e+00,"uptake", 1.1,"SRP"
"54","16",2012-03-12,-2.197695e+00,-1.103395e-01, 1.605823e+00,"balanced", 0.1,"SRP"
"55","32",2012-03-12, 5.667288e-01, 6.268089e-01, 6.912224e-01,"uptake", 1.1,"SRP"
"56","128",2012-03-12, 4.843604e-01, 5.227529e-01, 5.720145e-01,"uptake", 1.1,"SRP"
"57","8",2012-03-26,-1.980991e-01, 3.598776e-01, 1.025876e+00,"balanced", 0.1,"SRP"
"58","16",2012-03-26,-2.431096e-01, 9.190375e-01, 1.754804e+00,"balanced", 0.1,"SRP"
"59","32",2012-03-26, 5.146330e-01, 5.718508e-01, 6.342309e-01,"uptake", 1.1,"SRP"
"60","128",2012-03-26, 2.016211e-01, 2.675363e-01, 3.279971e-01,"uptake", 1.1,"SRP"
"61","2",2012-04-09, 2.943271e-01, 6.825438e-01, 1.003092e+00,"uptake", 1.1,"SRP"
"62","8",2012-04-09,-1.264282e+00,-3.917430e-01, 6.085149e-01,"balanced", 0.1,"SRP"
"63","16",2012-04-09,-1.829156e-01, 8.447202e-01, 1.590786e+00,"balanced", 0.1,"SRP"
"64","32",2012-04-09,-2.751451e-02, 6.455521e-02, 1.523233e-01,"balanced", 0.1,"SRP"
"65","128",2012-04-09, 2.722205e-01, 3.064655e-01, 3.445622e-01,"uptake", 1.1,"SRP"
"66","2",2012-04-21, 3.819370e+00, 4.336591e+00, 4.945072e+00,"uptake", 1.1,"SRP"
"67","8",2012-04-21,-2.309675e-01, 6.092379e-01, 1.532731e+00,"balanced", 0.1,"SRP"
"68","16",2012-04-21, 1.790359e+00, 3.229790e+00, 5.021925e+00,"uptake", 1.1,"SRP"
"69","32",2012-04-21, 4.731222e-01, 5.599781e-01, 6.579372e-01,"uptake", 1.1,"SRP"
"70","2",2012-05-07,-3.713421e-02, 3.629898e-01, 6.893795e-01,"balanced", 0.1,"SRP"
"71","8",2012-05-07,-1.399892e+01,-1.046220e+01,-7.001641e+00,"release",-0.9,"SRP"
"72","16",2012-05-07,-2.154540e+00,-6.499285e-01, 3.036761e-01,"balanced", 0.1,"SRP"
"73","32",2012-05-07, 1.735542e-01, 2.358909e-01, 3.052488e-01,"uptake", 1.1,"SRP"
"74","128",2012-05-07, 4.448154e-01, 5.082331e-01, 5.756784e-01,"uptake", 1.1,"SRP"
"75","2",2012-05-17, 9.744266e-01, 1.207297e+00, 1.410152e+00,"uptake", 1.1,"SRP"
"76","8",2012-05-17, 3.328009e+00, 3.719867e+00, 4.205826e+00,"uptake", 1.1,"SRP"
"77","16",2012-05-17, 1.028436e+00, 1.326935e+00, 1.663606e+00,"uptake", 1.1,"SRP"
"78","32",2012-05-17,-1.654308e-04, 7.237155e-02, 1.434204e-01,"balanced", 0.1,"SRP"
"79","128",2012-05-17, 1.921182e-01, 2.661750e-01, 3.332904e-01,"uptake", 1.1,"SRP"
"80","2",2012-05-31, 2.457113e-01, 4.718672e-01, 6.811852e-01,"uptake", 1.1,"SRP"
"81","8",2012-05-31, 9.660943e-01, 1.403441e+00, 1.958869e+00,"uptake", 1.1,"SRP"
"82","128",2012-05-31,-1.607661e-01, 2.720022e-02, 1.309305e-01,"balanced", 0.1,"SRP"
"83","2",2012-06-15, 3.884192e-01, 4.896785e-01, 6.696267e-01,"uptake", 1.1,"SRP"
"84","8",2012-06-15, 9.979572e-01, 1.342151e+00, 1.782807e+00,"uptake", 1.1,"SRP"
"85","16",2012-06-15, 1.026063e+00, 1.348389e+00, 1.763515e+00,"uptake", 1.1,"SRP"
"86","32",2012-06-15, 1.946631e-01, 2.791557e-01, 3.704109e-01,"uptake", 1.1,"SRP"
"87","128",2012-06-15, 3.185626e-01, 3.898906e-01, 4.809796e-01,"uptake", 1.1,"SRP"
"88","2",2012-07-01, 9.537237e-03, 1.134938e-01, 2.045579e-01,"uptake", 1.1,"SRP"
"89","16",2012-07-01,-1.396424e+00, 3.218920e-01, 1.545697e+00,"balanced", 0.1,"SRP"
"90","2",2012-08-14, 6.474228e-02, 4.741413e-01, 8.343109e-01,"uptake", 1.1,"SRP"
"91","8",2012-08-14,-9.155707e+00,-6.890338e+00,-4.592950e+00,"release",-0.9,"SRP"
"92","32",2012-08-14, 2.793799e-02, 1.324956e-01, 2.301946e-01,"uptake", 1.1,"SRP"
"93","128",2012-08-14, 1.025951e-01, 1.357934e-01, 1.671472e-01,"uptake", 1.1,"SRP"
"94","2",2012-08-27,-6.208757e-01,-4.938730e-02, 2.668755e-01,"balanced", 0.1,"SRP"
"95","8",2012-08-27,-2.009066e+00,-1.529544e+00,-1.098312e+00,"release",-0.9,"SRP"
"96","32",2012-08-27, 2.539318e-02, 1.170412e-01, 2.063829e-01,"uptake", 1.1,"SRP"
"97","128",2012-08-27, 1.919393e-01, 2.233063e-01, 2.674525e-01,"uptake", 1.1,"SRP"
"98","2",2012-09-06,-4.568225e-01, 4.517278e-02, 4.186991e-01,"balanced", 0.1,"SRP"
"99","8",2012-09-06, 4.760830e-01, 7.732687e-01, 1.144120e+00,"uptake", 1.1,"SRP"
"100","32",2012-09-06, 5.271324e-02, 1.247877e-01, 1.989410e-01,"uptake", 1.1,"SRP"
"101","128",2012-09-06,-2.052008e-01,-6.872181e-02, 2.997668e-02,"balanced", 0.1,"SRP"
"102","2",2012-09-19, 9.240121e-01, 1.287226e+00, 1.618560e+00,"uptake", 1.1,"SRP"
"103","8",2012-09-19, 3.053326e+00, 3.420339e+00, 3.860052e+00,"uptake", 1.1,"SRP"
"104","32",2012-09-19, 3.409482e-01, 3.861321e-01, 4.386566e-01,"uptake", 1.1,"SRP"
"105","128",2012-09-19, 4.454898e-01, 4.861634e-01, 5.319166e-01,"uptake", 1.1,"SRP"
"106","2",2012-10-22,-7.944599e-01, 6.180690e-01, 1.655906e+00,"balanced", 0.1,"SRP"
"107","8",2012-10-22,-6.814483e-01, 5.992770e-01, 2.311412e+00,"balanced", 0.1,"SRP"
"108","32",2012-10-22, 4.657059e-01, 5.224126e-01, 5.874085e-01,"uptake", 1.1,"SRP"
"109","128",2012-10-22, 2.328625e-01, 2.630686e-01, 2.927242e-01,"uptake", 1.1,"SRP"
"110","2",2012-11-08,-4.472788e+00,-2.296723e+00,-6.702189e-01,"release",-0.9,"SRP"
"111","8",2012-11-08,-9.238322e+00,-7.070213e+00,-4.547919e+00,"release",-0.9,"SRP"
"112","32",2012-11-08,-8.825173e-02, 5.092655e-02, 1.823390e-01,"balanced", 0.1,"SRP"
"113","128",2012-11-08,-4.768921e-02, 2.145452e-02, 7.214471e-02,"balanced", 0.1,"SRP"
"114","2",2012-11-20,-2.368973e+00,-1.459725e+00,-6.803993e-01,"release",-0.9,"SRP"
"115","8",2012-11-20,-5.789812e+00,-4.191334e+00,-2.523149e+00,"release",-0.9,"SRP"
"116","32",2012-11-20,-2.102206e-01,-4.937443e-02, 1.005570e-01,"balanced", 0.1,"SRP"
"117","128",2012-11-20, 1.392391e-01, 1.633407e-01, 1.867169e-01,"uptake", 1.1,"SRP"
"118","2",2012-12-03,-1.802024e+00,-8.687927e-01,-9.922386e-02,"release",-0.9,"SRP"
"119","8",2012-12-03,-6.478797e+00,-4.774183e+00,-3.111845e+00,"release",-0.9,"SRP"
"120","32",2012-12-03, 4.954917e-01, 5.447767e-01, 5.999464e-01,"uptake", 1.1,"SRP"
"121","128",2012-12-03, 6.997682e-01, 8.066436e-01, 9.445627e-01,"uptake", 1.1,"SRP"
"122","2",2012-12-19,-2.630459e+00, 1.274868e+00, 3.991617e+00,"balanced", 0.1,"SRP"
"123","8",2012-12-19,-1.685940e+01,-1.368270e+01,-1.075352e+01,"release",-0.9,"SRP"
"124","32",2012-12-19,-2.927900e-01,-1.466015e-01,-1.337502e-02,"release",-0.9,"SRP"
"125","128",2012-12-19,-8.259641e-01,-4.806072e-01,-2.619956e-01,"release",-0.9,"SRP"
"126","2",2013-01-04,-4.121983e+00,-1.644978e+00, 3.824368e-02,"balanced", 0.1,"SRP"
"127","8",2013-01-04,-1.504794e+01,-1.216542e+01,-8.977703e+00,"release",-0.9,"SRP"
"128","32",2013-01-04,-1.019711e-01,-1.108999e-03, 9.076198e-02,"balanced", 0.1,"SRP"
"129","128",2013-01-04,-2.116069e-01,-7.631627e-02, 2.237889e-02,"balanced", 0.1,"SRP"
"130","8",2013-01-18,-1.904504e+00,-1.244693e+00,-7.529017e-01,"release",-0.9,"SRP"
"131","128",2013-01-18,-1.930000e+00,-5.352457e-01, 1.155741e-01,"balanced", 0.1,"SRP"
"132","8",2013-01-31,-3.852445e-01,-2.899812e-01,-1.985216e-01,"release",-0.9,"SRP"
"133","32",2013-01-31, 7.681633e-01, 1.054409e+00, 1.338689e+00,"uptake", 1.1,"SRP"
"134","128",2013-01-31, 5.535202e-01, 7.350777e-01, 8.951101e-01,"uptake", 1.1,"SRP"
"135","8",2013-02-11, 2.263968e+00, 3.005031e+00, 3.992450e+00,"uptake", 1.1,"SRP"
"136","32",2013-02-11, 3.206632e-01, 4.927338e-01, 6.630374e-01,"uptake", 1.1,"SRP"
"137","8",2013-02-26, 8.748584e-01, 1.944722e+00, 3.375078e+00,"uptake", 1.1,"SRP"
"138","32",2013-02-26, 6.866547e-01, 8.690365e-01, 1.043476e+00,"uptake", 1.1,"SRP"
"139","2",2013-03-12, 1.143252e+00, 1.678956e+00, 2.154866e+00,"uptake", 1.1,"SRP"
"140","8",2013-03-12, 2.158493e+00, 2.567987e+00, 3.044701e+00,"uptake", 1.1,"SRP"
"141","16",2013-03-12,-1.719809e-02, 3.301075e-01, 5.697999e-01,"balanced", 0.1,"SRP"
"142","32",2013-03-12, 8.272987e-01, 9.553712e-01, 1.087578e+00,"uptake", 1.1,"SRP"
"143","128",2013-03-12,-1.675967e-01,-1.327291e-01,-1.049869e-01,"release",-0.9,"SRP"
"144","2",2013-04-10, 7.920081e-01, 1.161671e+00, 1.450477e+00,"uptake", 1.1,"SRP"
"145","8",2013-04-10,-1.786455e+00,-1.025458e+00,-2.294994e-01,"release",-0.9,"SRP"
"146","16",2013-04-10,-1.230619e+00,-2.095511e-01, 5.022991e-01,"balanced", 0.1,"SRP"
"147","32",2013-04-10,-5.250641e-01,-3.317035e-01,-1.539697e-01,"release",-0.9,"SRP"
"148","128",2013-04-10,-3.732368e-01,-9.695055e-02, 1.064963e-01,"balanced", 0.1,"SRP"
"149","2",2013-05-10,-1.500217e+00, 5.835269e-01, 2.056900e+00,"balanced", 0.1,"SRP"
"150","8",2013-05-10, 1.137515e+00, 1.843274e+00, 2.673836e+00,"uptake", 1.1,"SRP"
"151","32",2013-05-10, 9.829246e-02, 1.628551e-01, 2.293915e-01,"uptake", 1.1,"SRP"
"152","128",2013-05-10,-1.955388e-01,-7.493014e-02, 1.439043e-02,"balanced", 0.1,"SRP"
"153","8",2013-05-24,-1.550597e+00,-8.238696e-01,-6.430285e-03,"release",-0.9,"SRP"
"154","16",2013-05-24,-1.374626e+00, 7.421591e-01, 2.660348e+00,"balanced", 0.1,"SRP"
"155","32",2013-05-24, 2.878647e-01, 3.579081e-01, 4.358487e-01,"uptake", 1.1,"SRP"
"156","128",2013-05-24, 4.714723e-01, 5.624329e-01, 6.536830e-01,"uptake", 1.1,"SRP"
"157","2",2013-06-07, 6.593577e-01, 8.773853e-01, 1.064222e+00,"uptake", 1.1,"SRP"
"158","8",2013-06-07,-3.738493e-01, 9.746079e-02, 6.157398e-01,"balanced", 0.1,"SRP"
"159","16",2013-06-07,-2.670445e-01, 3.033617e-01, 6.942107e-01,"balanced", 0.1,"SRP"
"160","32",2013-06-07, 2.699873e-01, 3.261765e-01, 3.896099e-01,"uptake", 1.1,"SRP"
"161","128",2013-06-07,-1.557167e-01,-1.204885e-01,-9.482697e-02,"release",-0.9,"SRP"
"162","2",2013-06-24, 1.835640e-01, 4.804124e-01, 7.035787e-01,"uptake", 1.1,"SRP"
"163","8",2013-06-24, 8.129760e-01, 1.043520e+00, 1.359079e+00,"uptake", 1.1,"SRP"
"164","16",2013-06-24,-1.225119e-01, 4.841892e-01, 9.093200e-01,"balanced", 0.1,"SRP"
"165","32",2013-06-24, 1.473937e-01, 2.114206e-01, 2.763665e-01,"uptake", 1.1,"SRP"
"166","128",2013-06-24,-1.546245e-01,-1.188574e-01,-9.346808e-02,"release",-0.9,"SRP"
"167","2",2013-07-08, 3.274427e+00, 5.202800e+00, 7.027280e+00,"uptake", 1.1,"SRP"
"168","8",2013-07-08,-7.986280e+00,-5.788803e+00,-3.836853e+00,"release",-0.9,"SRP"
"169","16",2013-07-08, 1.338625e+00, 3.083800e+00, 5.551768e+00,"uptake", 1.1,"SRP"
"170","32",2013-07-08, 5.805376e-01, 6.834906e-01, 7.913899e-01,"uptake", 1.1,"SRP"
"171","128",2013-07-08,-1.679774e-01,-1.116396e-01,-7.417822e-02,"release",-0.9,"SRP"
"172","2",2013-07-22, 5.421803e-01, 1.026882e+00, 1.445021e+00,"uptake", 1.1,"SRP"
"173","8",2013-07-22,-6.466055e+00,-4.967271e+00,-3.337965e+00,"release",-0.9,"SRP"
"174","16",2013-07-22,-3.900540e-02, 7.818061e-01, 1.400875e+00,"balanced", 0.1,"SRP"
"175","32",2013-07-22, 5.708369e-01, 6.307199e-01, 6.972421e-01,"uptake", 1.1,"SRP"
"176","128",2013-07-22,-1.302293e+00,-1.036894e+00,-8.166488e-01,"release",-0.9,"SRP"
