date,stream,flow.rate.ml.stroke
2011-09-06,WS06,0.188
2011-09-12,WS06,0.2
2011-10-03,WS06,0.19
2011-10-10,WS06,0.16
2011-10-24,WS06,0.2
2011-11-21,WS06,0.18
2011-11-30,WS06,0.2
2011-12-11,WS06,0.18
2012-01-23,WS06,0.17
2012-02-06,WS06,0.2
2012-02-23,WS06,0.2
2012-02-27,WS06,0.2
2012-03-05,WS06,0.16
2012-03-16,WS06,0.24
2012-04-09,WS06,0.17
2012-04-15,WS06,0.24
2012-04-21,WS06,0.2
2012-05-17,WS06,0.14
2012-06-22,WS06,0.2
2012-07-13,WS06,0.2
2012-08-03,WS06,0.2
2011-12-04,WS06,0.175
2012-03-12,WS06,0.225
2012-03-26,WS06,0.24
2012-06-15,WS06,0.25
2012-09-06,WS06,0.2
2012-09-13,WS06,0.2
2012-12-11,WS06,0.2
2012-12-28,WS06,0.19
2013-01-04,WS06,0.16
2013-01-10,WS06,0.24
2013-01-18,WS06,0.2
2013-01-21,WS06,0.19
2013-01-26,WS06,0.19
2013-01-31,WS06,0.19
2013-02-08,WS06,0.22
2013-02-11,WS06,0.21
2013-02-14,WS06,0.19
2013-02-18,WS06,0.2
2013-02-22,WS06,0.225
2013-02-26,WS06,0.2
2011-07-06,WS06,0.2
2011-07-15,WS06,0.25
2011-07-31,WS06,0.15
2011-08-09,WS06,0.18
2011-08-11,WS06,0.2
2011-08-26,WS06,0.21
2013-03-11,WS06,0.2
2013-03-15,WS06,0.2
2013-03-19,WS06,0.21
2013-03-25,WS06,0.18
2013-04-04,WS06,0.21
2013-04-21,WS06,0.26
2013-05-02,WS06,0.2
2013-05-06,WS06,0.21
2013-05-16,WS06,0.25
2013-05-24,WS06,0.2
2013-05-30,WS06,0.225
2013-06-07,WS06,0.19
2013-07-01,WS06,0.15
2013-07-15,WS06,0.21
2011-09-06,WS07,0.4
2011-10-03,WS07,0.4
2011-10-10,WS07,0.4
2011-10-24,WS07,0.4
2011-11-21,WS07,0.4
2012-01-23,WS07,0.32
2012-02-06,WS07,0.4
2012-02-23,WS07,0.41
2012-02-27,WS07,0.46
2012-03-05,WS07,0.38
2012-03-16,WS07,0.39
2012-04-09,WS07,0.41
2012-04-15,WS07,0.21
2012-05-17,WS07,0.4
2012-06-22,WS07,0.4
2012-07-13,WS07,0.4
2012-08-03,WS07,0.4
2011-12-04,WS07,0.35
2012-03-12,WS07,0.36
2012-03-26,WS07,0.39
2012-09-06,WS07,0.4
2012-09-13,WS07,0.4
2012-12-11,WS07,0.34
2012-12-28,WS07,0.3
2013-01-04,WS07,0.275
2013-01-10,WS07,0.44
2013-01-18,WS07,0.35
2013-01-21,WS07,0.36
2013-01-26,WS07,0.39
2013-01-31,WS07,0.3
2013-02-08,WS07,0.4
2013-02-11,WS07,0.395
2013-02-14,WS07,0.39
2013-02-18,WS07,0.275
2013-02-22,WS07,0.35
2013-02-26,WS07,0.4
2011-07-06,WS07,0.4
2011-07-31,WS07,0.42
2011-08-09,WS07,0.4
2011-08-11,WS07,0.4
2013-03-11,WS07,0.4
2013-03-15,WS07,0.36
2013-03-19,WS07,0.39
2013-03-25,WS07,0.2
2013-04-21,WS07,0.4
2013-05-16,WS07,0.42
2013-05-24,WS07,0.4
2013-05-30,WS07,0.385
2013-06-07,WS07,0.4
2013-07-01,WS07,0.21
2011-09-06,WS08,0.19
2011-09-12,WS08,0.19
2011-10-03,WS08,0.14
2011-10-10,WS08,0.25
2011-10-24,WS08,0.25
2011-11-21,WS08,0.26
2012-01-23,WS08,0.2
2012-02-06,WS08,0.2
2012-02-23,WS08,0.25
2012-02-27,WS08,0.19
2012-03-05,WS08,0.2
2012-03-16,WS08,0.3
2012-04-09,WS08,0.21
2012-05-17,WS08,0.2
2012-06-22,WS08,0.215
2012-07-13,WS08,0.19
2012-08-03,WS08,0.25
2012-03-12,WS08,0.185
2012-03-26,WS08,0.25
2012-09-06,WS08,0.2
2012-09-13,WS08,0.175
2012-12-11,WS08,0.16
2012-12-28,WS08,0.22
2013-01-04,WS08,0.25
2013-01-10,WS08,0.22
2013-01-18,WS08,0.19
2013-01-21,WS08,0.2
2013-01-26,WS08,0.25
2013-01-31,WS08,0.1
2013-02-08,WS08,0.19
2013-02-11,WS08,0.18
2013-02-14,WS08,0.24
2013-02-18,WS08,0.2
2013-02-22,WS08,0.19
2013-02-26,WS08,0.18
2011-07-06,WS08,0.2
2011-07-15,WS08,0.225
2011-07-31,WS08,0.22
2011-08-09,WS08,0.2
2011-09-26,WS08,0.22
2013-03-11,WS08,0.19
2013-03-15,WS08,0.23
2013-04-04,WS08,0.15
2013-04-21,WS08,0.21
2013-04-25,WS08,0.16
2013-05-02,WS08,0
2013-05-06,WS08,0
2013-05-16,WS08,0.25
2013-05-24,WS08,0.24
2013-05-30,WS08,0.24
2013-06-07,WS08,0.2
2013-07-01,WS08,0.21
2013-07-15,WS08,0.22
2011-09-06,WS09,0.2
2011-10-03,WS09,0.19
2011-10-10,WS09,0.21
2011-10-24,WS09,0.2
2011-11-21,WS09,0.2
2011-11-30,WS09,0.18
2011-12-04,WS09,0.2
2012-01-23,WS09,0.25
2012-02-06,WS09,0.2
2012-02-23,WS09,0.205
2012-02-27,WS09,0.19
2012-03-05,WS09,0.2
2012-03-16,WS09,0.24
2012-04-09,WS09,0.22
2012-05-17,WS09,0.2
2012-06-22,WS09,0.2
2012-07-13,WS09,0.2
2012-08-03,WS09,0.2
2011-12-04,WS09,0.19
2012-03-12,WS09,0.2
2012-03-26,WS09,0.2
2012-09-06,WS09,0.2
2012-09-13,WS09,0.19
2012-12-11,WS09,0.17
2012-12-28,WS09,0.19
2013-01-04,WS09,0.19
2013-01-10,WS09,0.22
2013-01-18,WS09,0.2
2013-01-21,WS09,0.19
2013-01-26,WS09,0.25
2013-01-31,WS09,0.1
2013-02-08,WS09,0.265
2013-02-11,WS09,0.19
2013-02-14,WS09,0.2
2013-02-18,WS09,0.2
2013-02-22,WS09,0.2
2013-02-26,WS09,0.2
2011-07-06,WS09,0.2
2011-07-31,WS09,0.22
2011-08-09,WS09,0.19
2013-03-11,WS09,0.2
2013-03-15,WS09,0.22
2013-03-19,WS09,0.2
2013-03-25,WS09,0.19
2013-04-04,WS09,0.21
2013-04-21,WS09,0.21
2013-04-25,WS09,0.19
2013-05-02,WS09,0.19
2013-05-16,WS09,0.22
2013-05-24,WS09,0.22
2013-05-30,WS09,0.24
2013-06-07,WS09,0.2
2013-07-01,WS09,0.2
2013-07-15,WS09,0.195
2011-09-06,WS10,0.2
2011-09-12,WS10,0.2
2011-10-03,WS10,0.2
2011-10-10,WS10,0
2011-10-24,WS10,0.2
2011-11-21,WS10,0.215
2011-11-30,WS10,0.15
2012-01-23,WS10,0.18
2012-02-06,WS10,0.225
2012-02-23,WS10,0.21
2012-02-27,WS10,0.2
2012-03-05,WS10,0.16
2012-03-16,WS10,0.24
2012-04-09,WS10,0.22
2012-05-17,WS10,0.19
2012-06-22,WS10,0.25
2012-07-13,WS10,0.2
2012-08-03,WS10,0.25
2011-12-04,WS10,0.18
2012-03-12,WS10,0.225
2012-03-26,WS10,0.2
2012-09-06,WS10,0.2
2012-09-13,WS10,0.2
2012-12-11,WS10,0.16
2012-12-28,WS10,0.19
2013-01-04,WS10,0.2
2013-01-10,WS10,0.23
2013-01-18,WS10,0.225
2013-01-21,WS10,0.19
2013-01-26,WS10,0.19
2013-01-31,WS10,0
2013-02-08,WS10,0.23
2013-02-11,WS10,0.2
2013-02-14,WS10,0.21
2013-02-18,WS10,0.24
2013-02-26,WS10,0.23
2011-07-06,WS10,0.2
2011-07-31,WS10,0.2
2011-08-09,WS10,0.2
2011-08-26,WS10,0.24
2013-03-11,WS10,0.22
2013-03-15,WS10,0.24
2013-03-19,WS10,0.2
2013-03-25,WS10,0.195
2013-04-21,WS10,0
2013-05-02,WS10,0.25
2013-05-16,WS10,0.24
2013-05-24,WS10,0.21
2013-05-30,WS10,0.21
2013-06-07,WS10,0.24
2013-06-17,WS10,0.2
2013-07-01,WS10,0.2
