stream,date,chla.mg.m2
WS06,2010-09-10,0.407545833
WS06,2010-09-10,2.9203125
WS06,2010-09-10,3.439479167
WS06,2010-09-10,1.521158333
WS06,2010-10-10,0.6775125
WS06,2010-10-10,0.6619375
WS06,2010-10-10,2.21165
WS06,2010-10-10,0
WS06,2010-11-10,0.713854167
WS06,2010-11-10,0.908541667
WS06,2010-11-10,0
WS06,2010-11-10,6.51E-16
WS06,2010-12-10,15.575
WS06,2010-12-10,1.012375
WS06,2010-12-10,0.6619375
WS06,2010-12-10,0
WS06,2011-01-10,5.560275
WS06,2011-01-10,1.622395833
WS06,2011-01-10,0.612616667
WS06,2011-01-10,1.297916667
WS06,2011-02-10,33.53816667
WS06,2011-02-10,28.8526875
WS06,2011-02-10,2.14935
WS06,2011-02-10,4.568666667
WS06,2011-03-10,5.399333333
WS06,2011-03-10,3.530333333
WS06,2011-03-10,0.77875
WS06,2011-03-10,0.8722
WS06,2011-04-10,27.82733333
WS06,2011-04-10,11.2529375
WS06,2011-04-10,15.8865
WS06,2011-04-10,12.2653125
WS06,2011-05-10,0.571083333
WS06,2011-05-10,12.90648333
WS06,2011-05-10,10.39371667
WS06,2011-05-10,4.719225
WS06,2011-06-10,1.83785
WS06,2011-06-10,1.204466667
WS06,2011-06-10,4.361
WS06,2011-06-10,1.204466667
WS06,2011-07-10,1.33945
WS06,2011-07-10,2.1805
WS06,2011-07-10,9.137333333
WS06,2011-07-10,0
WS06,2011-08-10,0.430908333
WS06,2011-08-10,1.022758333
WS06,2011-08-10,0.389375
WS06,2011-08-10,0.441291667
WS06,2011-09-10,1.012375
WS06,2011-09-10,2.4297
WS06,2011-09-10,4.345425
WS06,2011-09-10,0
WS06,2011-10-10,1.536733333
WS06,2011-10-10,1.661333333
WS06,2011-10-10,0.674916667
WS06,2011-10-10,0.882583333
WS06,2011-11-10,1.09025
WS06,2011-11-10,0.384183333
WS06,2011-11-10,0.3504375
WS06,2011-12-10,0.347841667
WS06,2011-12-10,0.576275
WS06,2011-12-10,5.129366667
WS06,2011-12-10,0.726833333
WS06,2012-01-10,1.168125
WS06,2012-01-10,0.768366667
WS06,2012-01-10,1.168125
WS06,2012-01-10,0
WS06,2012-02-10,1.349833333
WS06,2012-02-10,2.271354167
WS06,2012-03-10,44.19146667
WS06,2012-03-10,31.72108333
WS06,2012-03-10,24.08933333
WS06,2012-03-10,7.476
WS06,2012-04-10,100.6145
WS06,2012-04-10,30.81773333
WS06,2012-04-10,1.853425
WS06,2012-05-10,124.7246
WS06,2012-05-10,159.2388
WS06,2012-05-10,120.0521
WS06,2012-05-10,149.52
WS06,2012-06-10,213.5021
WS06,2012-06-10,163.5375
WS06,2012-06-10,47.0988
WS06,2012-07-10,4.6102
WS06,2012-07-10,6.3546
WS06,2012-07-10,5.814666667
WS06,2012-07-10,1.329066667
WS06,2012-08-10,2.035133333
WS06,2012-08-10,2.39855
WS06,2012-08-10,0.623
WS06,2012-08-10,0
WS06,2012-09-10,1.02795
WS06,2012-09-10,1.869
WS06,2012-09-10,2.8658
WS06,2012-09-10,0.955266667
WS06,2012-10-10,0.513975
WS06,2012-10-10,0.3660125
WS06,2012-10-10,0
WS06,2012-10-10,0.368608333
WS06,2012-11-10,2.0559
WS06,2012-11-10,0
WS06,2012-11-10,0
WS06,2012-11-10,1.069483333
WS06,2012-12-10,1.723633333
WS06,2012-12-10,1.474433333
WS06,2012-12-10,0
WS06,2012-12-10,0.441291667
WS06,2013-01-10,0.40495
WS06,2013-01-10,0.789133333
WS06,2013-01-10,0
WS06,2013-01-10,0
WS06,2013-02-10,0.5607
WS06,2013-02-10,0.290733333
WS06,2013-02-10,0
WS06,2013-02-10,0.28035
WS06,2013-03-10,31.72108333
WS06,2013-03-10,8.452033333
WS06,2013-03-10,1.105825
WS06,2013-03-10,5.061875
WS06,2013-04-10,100.4276
WS06,2013-04-10,134.2772667
WS06,2013-04-10,73.7632
WS06,2013-04-10,322.9632
WS06,2013-05-10,212.8583333
WS06,2013-05-10,247.4140667
WS06,2013-05-10,152.79075
WS06,2013-05-10,266.8724333
WS06,2013-06-10,129.3763333
WS06,2013-06-10,93.73035
WS06,2013-06-10,38.95826667
WS06,2013-06-10,15.99033333
WS06,2013-07-10,1.287533333
WS06,2013-07-10,1.869
WS06,2013-07-10,7.579833333
WS06,2013-07-10,0
WS07,2010-09-10,0.6619375
WS07,2010-09-10,9.23E-16
WS07,2010-09-10,0
WS07,2010-09-10,2.388166667
WS07,2010-10-10,0.667129167
WS07,2010-10-10,0.8955625
WS07,2010-10-10,0
WS07,2010-10-10,2.388166667
WS07,2010-11-10,0.789133333
WS07,2010-11-10,0
WS07,2010-11-10,0
WS07,2010-11-10,0.908541667
WS07,2010-12-10,0.623
WS07,2010-12-10,1.817083333
WS07,2011-01-10,0.519166667
WS07,2011-01-10,0
WS07,2011-01-10,0.8176875
WS07,2011-01-10,1.687291667
WS07,2011-02-10,8.56625
WS07,2011-02-10,7.761541667
WS07,2011-03-10,2.1805
WS07,2011-03-10,1.5575
WS07,2011-03-10,5.269541667
WS07,2011-03-10,1.453666667
WS07,2011-04-10,7.3591875
WS07,2011-04-10,1.3628125
WS07,2011-05-10,1.848233333
WS07,2011-05-10,4.153333333
WS07,2011-05-10,15.97995
WS07,2011-06-10,1.09025
WS07,2011-06-10,2.621791667
WS07,2011-06-10,1.952066667
WS07,2011-07-10,0.4361
WS07,2011-07-10,0.8099
WS07,2011-07-10,1.52635
WS07,2011-07-10,4.257166667
WS07,2011-08-10,0.7086625
WS07,2011-08-10,0.4361
WS07,2011-08-10,1.479625
WS07,2011-09-10,0.508783333
WS07,2011-09-10,0.306308333
WS07,2011-09-10,0.384183333
WS07,2011-09-10,0.363416667
WS07,2011-10-10,2.492
WS07,2011-10-10,1.661333333
WS07,2011-10-10,0.789133333
WS07,2011-10-10,0.493208333
WS07,2011-11-10,-3.96E-16
WS07,2011-11-10,3.83E-16
WS07,2011-12-10,0
WS07,2011-12-10,1.323875
WS07,2011-12-10,1.7054625
WS07,2011-12-10,1.3005125
WS07,2012-01-10,1.952066667
WS07,2012-01-10,0.77875
WS07,2012-01-10,0
WS07,2012-01-10,2.076666667
WS07,2012-02-10,0
WS07,2012-02-10,7.1022
WS07,2012-02-10,3.540716667
WS07,2012-02-10,0.799516667
WS07,2012-03-10,14.12133333
WS07,2012-03-10,1.27715
WS07,2012-03-10,14.12133333
WS07,2012-03-10,50.509725
WS07,2012-04-10,21.805
WS07,2012-04-10,32.255825
WS07,2012-04-10,20.9328
WS07,2012-04-10,21.71155
WS07,2012-05-10,141.8778667
WS07,2012-05-10,220.5212333
WS07,2012-05-10,75.54913333
WS07,2012-05-10,184.3560833
WS07,2012-06-10,138.2229333
WS07,2012-06-10,518.0868
WS07,2012-06-10,121.2773333
WS07,2012-06-10,310.9185333
WS07,2012-07-10,12.87533333
WS07,2012-07-10,11.0271
WS07,2012-07-10,7.19565
WS07,2012-07-10,64.51165
WS07,2012-08-10,0
WS07,2012-08-10,0
WS07,2012-08-10,0.882583333
WS07,2012-08-10,4.5479
WS07,2012-09-10,0.9345
WS07,2012-09-10,31.86645
WS07,2012-09-10,0
WS07,2012-09-10,6.5415
WS07,2012-10-10,0
WS07,2012-10-10,0
WS07,2012-10-10,0
WS07,2012-10-10,0.882583333
WS07,2012-11-10,0.913733333
WS07,2012-11-10,23.64285
WS07,2012-11-10,0
WS07,2012-11-10,0
WS07,2012-12-10,0.316691667
WS07,2012-12-10,1.453666667
WS07,2012-12-10,0.327075
WS07,2012-12-10,1.453666667
WS07,2013-01-10,0.892966667
WS07,2013-01-10,1.1837
WS07,2013-01-10,0.347841667
WS07,2013-01-10,0.363416667
WS07,2013-02-10,0.277754167
WS07,2013-02-10,0.28035
WS07,2013-02-10,0.285541667
WS07,2013-02-10,0
WS07,2013-03-10,8.69085
WS07,2013-03-10,11.62933333
WS07,2013-03-10,1.1214
WS07,2013-03-10,12.475575
WS07,2013-04-10,47.37915
WS07,2013-04-10,122.5233333
WS07,2013-04-10,58.04283333
WS07,2013-04-10,321.0111333
WS07,2013-05-10,104.664
WS07,2013-05-10,87.06425
WS07,2013-05-10,157.8059
WS07,2013-05-10,114.3828
WS07,2013-06-10,146.5088333
WS07,2013-06-10,112.0569333
WS07,2013-06-10,53.16266667
WS07,2013-06-10,104.664
WS07,2013-07-10,5.814666667
WS07,2013-07-10,5.3578
WS07,2013-07-10,0
WS07,2013-07-10,51.5844
WS08,2010-09-10,1.220041667
WS08,2010-09-10,0
WS08,2010-09-10,12.755925
WS08,2010-09-10,0
WS08,2010-10-10,0.674916667
WS08,2010-10-10,0.610020833
WS08,2010-10-10,1.920916667
WS08,2010-10-10,1.9235125
WS08,2010-11-10,0.674916667
WS08,2010-11-10,2.227225
WS08,2010-11-10,1.479625
WS08,2010-11-10,1.817083333
WS08,2010-12-10,2.02475
WS08,2010-12-10,1.972833333
WS08,2010-12-10,0
WS08,2010-12-10,0.700875
WS08,2011-01-10,0.726833333
WS08,2011-01-10,0.77875
WS08,2011-01-10,1.246
WS08,2011-02-10,3.945666667
WS08,2011-02-10,8.176875
WS08,2011-02-10,6.853
WS08,2011-02-10,3.4654375
WS08,2011-03-10,3.569270833
WS08,2011-03-10,0.986416667
WS08,2011-03-10,0.752791667
WS08,2011-03-10,2.401145833
WS08,2011-04-10,3.6211875
WS08,2011-04-10,3.244791667
WS08,2011-04-10,1.246
WS08,2011-04-10,4.932083333
WS08,2011-05-10,1.111016667
WS08,2011-05-10,1.635375
WS08,2011-05-10,2.3674
WS08,2011-05-10,9.386533333
WS08,2011-06-10,0.623
WS08,2011-06-10,1.765166667
WS08,2011-06-10,8.452033333
WS08,2011-06-10,0.389375
WS08,2011-07-10,0
WS08,2011-07-10,1.261575
WS08,2011-07-10,5.305883333
WS08,2011-07-10,0.3738
WS08,2011-08-10,0.851433333
WS08,2011-08-10,0.425716667
WS08,2011-08-10,1.323875
WS08,2011-08-10,0
WS08,2011-09-10,0
WS08,2011-09-10,2.652941667
WS08,2011-09-10,0
WS08,2011-10-10,1.791125
WS08,2011-10-10,0.757983333
WS08,2011-10-10,0.623
WS08,2011-10-10,1.765166667
WS08,2011-11-10,0.3348625
WS08,2011-11-10,0.90335
WS08,2011-11-10,0.378991667
WS08,2011-11-10,0.456866667
WS08,2011-12-10,0.34265
WS08,2011-12-10,0
WS08,2011-12-10,1.910533333
WS08,2011-12-10,0.389375
WS08,2012-01-10,0.77875
WS08,2012-01-10,1.6198
WS08,2012-01-10,2.154541667
WS08,2012-01-10,4.433683333
WS08,2012-02-10,1.349833333
WS08,2012-02-10,2.492
WS08,2012-02-10,1.3706
WS08,2012-02-10,2.569875
WS08,2012-03-10,5.061875
WS08,2012-03-10,4.880166667
WS08,2012-03-10,17.8801
WS08,2012-03-10,8.150916667
WS08,2012-04-10,5.503166667
WS08,2012-04-10,11.9849625
WS08,2012-04-10,34.42075
WS08,2012-04-10,2.6866875
WS08,2012-05-10,36.05093333
WS08,2012-05-10,12.46
WS08,2012-05-10,103.9371667
WS08,2012-05-10,69.04916667
WS08,2012-06-10,122.8763667
WS08,2012-06-10,181.8744667
WS08,2012-06-10,96.27426667
WS08,2012-06-10,23.3002
WS08,2012-07-10,0.726833333
WS08,2012-07-10,29.6548
WS08,2012-07-10,42.22901667
WS08,2012-07-10,1.349833333
WS08,2012-08-10,1.848233333
WS08,2012-08-10,2.658133333
WS08,2012-08-10,15.78266667
WS08,2012-08-10,1.1837
WS08,2012-09-10,0
WS08,2012-09-10,3.39535
WS08,2012-09-10,9.241166667
WS08,2012-09-10,0
WS08,2012-10-10,0.363416667
WS08,2012-10-10,0
WS08,2012-10-10,0.3504375
WS08,2012-10-10,0
WS08,2012-11-10,0
WS08,2012-11-10,1.038333333
WS08,2012-11-10,6.1054
WS08,2012-11-10,0.955266667
WS08,2012-12-10,0
WS08,2012-12-10,1.02795
WS08,2012-12-10,9.703225
WS08,2012-12-10,1.869
WS08,2013-01-10,0.353033333
WS08,2013-01-10,0
WS08,2013-01-10,0.820283333
WS08,2013-01-10,0.327075
WS08,2013-02-10,0
WS08,2013-02-10,0
WS08,2013-02-10,0.5607
WS08,2013-02-10,0
WS08,2013-03-10,2.164925
WS08,2013-03-10,0.8722
WS08,2013-03-10,41.01416667
WS08,2013-03-10,2.52315
WS08,2013-04-10,30.81773333
WS08,2013-04-10,8.50395
WS08,2013-04-10,447.7293333
WS08,2013-04-10,195.7050667
WS08,2013-05-10,10.62215
WS08,2013-05-10,275.5321333
WS08,2013-05-10,430.1399667
WS08,2013-06-10,51.5844
WS08,2013-06-10,116.501
WS08,2013-06-10,76.9405
WS08,2013-07-10,0
WS08,2013-07-10,5.399333333
WS08,2013-07-10,17.65166667
WS08,2013-07-10,7.559066667
WS09,2010-09-10,0
WS09,2010-09-10,0.648958333
WS09,2010-09-10,0.482825
WS09,2010-09-10,8.955625
WS09,2010-10-10,0
WS09,2010-10-10,0
WS09,2010-10-10,1.71325
WS09,2010-10-10,1.54E-15
WS09,2010-11-10,0.729429167
WS09,2010-11-10,0.944883333
WS09,2010-11-10,0
WS09,2010-12-10,0
WS09,2010-12-10,0.623
WS09,2010-12-10,2.02475
WS09,2010-12-10,8.87E-16
WS09,2011-01-10,0.545125
WS09,2011-01-10,0.2725625
WS09,2011-01-10,1.5575
WS09,2011-02-10,1.71325
WS09,2011-02-10,2.725625
WS09,2011-02-10,3.348625
WS09,2011-02-10,0.5840625
WS09,2011-03-10,3.011166667
WS09,2011-03-10,1.453666667
WS09,2011-03-10,0.986416667
WS09,2011-04-10,5.373375
WS09,2011-04-10,1.7521875
WS09,2011-04-10,5.8172625
WS09,2011-04-10,6.411708333
WS09,2011-05-10,2.0559
WS09,2011-05-10,7.995166667
WS09,2011-05-10,1.869
WS09,2011-05-10,1.728825
WS09,2011-05-10,6.224808333
WS09,2011-06-10,2.1182
WS09,2011-06-10,1.412133333
WS09,2011-06-10,2.325866667
WS09,2011-06-10,1.583458333
WS09,2011-07-10,1.536733333
WS09,2011-07-10,1.702866667
WS09,2011-07-10,9.137333333
WS09,2011-07-10,13.083
WS09,2011-08-10,0.46725
WS09,2011-08-10,0.430908333
WS09,2011-08-10,2.829458333
WS09,2011-08-10,2.595833333
WS09,2011-09-10,0.389375
WS09,2011-09-10,1.412133333
WS09,2011-09-10,0.410141667
WS09,2011-09-10,22.94716667
WS09,2011-10-10,1.817083333
WS09,2011-10-10,0.8722
WS09,2011-10-10,0.337458333
WS09,2011-10-10,1.4329
WS09,2011-11-10,0.456866667
WS09,2011-11-10,0.462058333
WS09,2011-12-10,1.142166667
WS09,2011-12-10,0.77875
WS09,2011-12-10,1.136975
WS09,2011-12-10,0
WS09,2012-01-10,3.60E-15
WS09,2012-01-10,0
WS09,2012-01-10,0.358225
WS09,2012-01-10,0.389375
WS09,2012-02-10,0.944883333
WS09,2012-02-10,0.59185
WS09,2012-02-10,-0.363416667
WS09,2012-02-10,4.2364
WS09,2012-03-10,2.271354167
WS09,2012-03-10,4.20525
WS09,2012-03-10,6.63495
WS09,2012-03-10,7.148925
WS09,2012-04-10,4.1507375
WS09,2012-04-10,1.96245
WS09,2012-04-10,5.425291667
WS09,2012-04-10,5.311075
WS09,2012-05-10,12.46
WS09,2012-05-10,35.61483333
WS09,2012-05-10,99.4308
WS09,2012-05-10,55.77926667
WS09,2012-06-10,96.3781
WS09,2012-06-10,150.0391667
WS09,2012-06-10,174.44
WS09,2012-06-10,90.80225
WS09,2012-07-10,0.726833333
WS09,2012-07-10,4.999575
WS09,2012-07-10,2.7412
WS09,2012-07-10,2.4297
WS09,2012-08-10,1.515966667
WS09,2012-08-10,1.3083
WS09,2012-08-10,1.785933333
WS09,2012-08-10,1.6198
WS09,2012-09-10,0
WS09,2012-09-10,1.453666667
WS09,2012-09-10,0
WS09,2012-09-10,3.821066667
WS09,2012-10-10,0
WS09,2012-10-10,0
WS09,2012-10-10,0.602233333
WS09,2012-10-10,0
WS09,2012-11-10,0
WS09,2012-11-10,0
WS09,2012-11-10,0
WS09,2012-11-10,1.017566667
WS09,2012-12-10,0.3738
WS09,2012-12-10,0.425716667
WS09,2012-12-10,0.46725
WS09,2012-12-10,0.451675
WS09,2013-01-10,0
WS09,2013-01-10,0
WS09,2013-01-10,1.21485
WS09,2013-01-10,0
WS09,2013-02-10,0
WS09,2013-02-10,0
WS09,2013-02-10,0.825475
WS09,2013-02-10,0.285541667
WS09,2013-03-10,0.752791667
WS09,2013-03-10,1.273688889
WS09,2013-03-10,2.699666667
WS09,2013-03-10,0.882583333
WS09,2013-04-10,8.358583333
WS09,2013-04-10,11.87853333
WS09,2013-04-10,15.2635
WS09,2013-04-10,3.654933333
WS09,2013-05-10,59.4342
WS09,2013-05-10,66.24566667
WS09,2013-05-10,128.7741
WS09,2013-05-10,33.72506667
WS09,2013-06-10,99.97073333
WS09,2013-06-10,36.71546667
WS09,2013-06-10,82.40213333
WS09,2013-06-10,98.64166667
WS09,2013-07-10,3.9872
WS09,2013-07-10,2.533533333
WS09,2013-07-10,19.1884
WS09,2013-07-10,41.27375
WS10,2010-09-10,0.706066667
WS10,2010-09-10,-1.06E-15
WS10,2010-09-10,0.5840625
WS10,2010-09-10,0.623
WS10,2010-10-10,2.27395
WS10,2010-10-10,1.282341667
WS10,2010-10-10,2.009175
WS10,2010-10-10,15.00391667
WS10,2010-11-10,1.142166667
WS10,2010-11-10,0.46725
WS10,2010-11-10,1.505583333
WS10,2010-11-10,0.908541667
WS10,2010-12-10,0
WS10,2010-12-10,2.040325
WS10,2010-12-10,1.256383333
WS10,2011-01-10,0.389375
WS10,2011-01-10,0.46725
WS10,2011-02-10,2.388166667
WS10,2011-02-10,6.0353125
WS10,2011-02-10,11.16208333
WS10,2011-02-10,12.82341667
WS10,2011-03-10,8.955625
WS10,2011-03-10,2.699666667
WS10,2011-03-10,2.907333333
WS10,2011-03-10,6.868575
WS10,2011-04-10,0.9734375
WS10,2011-04-10,20.1306875
WS10,2011-04-10,8.0600625
WS10,2011-04-10,5.2565625
WS10,2011-05-10,2.5543
WS10,2011-05-10,19.0638
WS10,2011-05-10,27.72869167
WS10,2011-05-10,14.53666667
WS10,2011-06-10,0.3115
WS10,2011-06-10,2.782733333
WS10,2011-06-10,12.5223
WS10,2011-07-10,10.26911667
WS10,2011-07-10,0.768366667
WS10,2011-07-10,2.725625
WS10,2011-07-10,1.323875
WS10,2011-08-10,0.420525
WS10,2011-08-10,0.955266667
WS10,2011-08-10,0.90335
WS10,2011-08-10,9.137333333
WS10,2011-09-10,0.882583333
WS10,2011-09-10,1.246
WS10,2011-09-10,13.68004167
WS10,2011-10-10,6.5415
WS10,2011-10-10,3.634166667
WS10,2011-10-10,1.09025
WS10,2011-10-10,1.168125
WS10,2011-11-10,0.955266667
WS10,2011-11-10,1.6821
WS10,2011-11-10,4.7971
WS10,2011-12-10,3.115
WS10,2011-12-10,1.079866667
WS10,2011-12-10,0.347841667
WS10,2011-12-10,0.446483333
WS10,2012-01-10,1.479625
WS10,2012-01-10,0.3348625
WS10,2012-01-10,0.353033333
WS10,2012-01-10,0.664533333
WS10,2012-02-10,0.5684875
WS10,2012-02-10,0
WS10,2012-02-10,2.46085
WS10,2012-02-10,0.820283333
WS10,2012-03-10,25.80258333
WS10,2012-03-10,29.5302
WS10,2012-03-10,50.74854167
WS10,2012-03-10,83.1705
WS10,2012-04-10,32.77239583
WS10,2012-04-10,2.89695
WS10,2012-04-10,11.92006667
WS10,2012-04-10,24.33074583
WS10,2012-05-10,297.1294667
WS10,2012-05-10,294.056
WS10,2012-05-10,45.027325
WS10,2012-05-10,97.22434167
WS10,2012-06-10,182.2898
WS10,2012-06-10,237.8614
WS10,2012-06-10,117.9546667
WS10,2012-06-10,139.8012
WS10,2012-07-10,39.45666667
WS10,2012-07-10,3.322666667
WS10,2012-07-10,9.4696
WS10,2012-07-10,53.05883333
WS10,2012-08-10,5.2332
WS10,2012-08-10,0.851433333
WS10,2012-08-10,2.907333333
WS10,2012-08-10,1.4329
WS10,2012-09-10,4.2364
WS10,2012-09-10,0.737216667
WS10,2012-09-10,-6.607953333
WS10,2012-09-10,8.56625
WS10,2012-10-10,0.363416667
WS10,2012-10-10,0
WS10,2012-10-10,0
WS10,2012-10-10,0.415333333
WS10,2012-11-10,1.4329
WS10,2012-11-10,1.038333333
WS10,2012-11-10,0.321883333
WS10,2012-11-10,0
WS10,2012-12-10,0.830666667
WS10,2012-12-10,0.84105
WS10,2012-12-10,0.386779167
WS10,2012-12-10,0.789133333
WS10,2013-01-10,1.079866667
WS10,2013-01-10,1.323875
WS10,2013-01-10,1.02795
WS10,2013-01-10,1.3083
WS10,2013-02-10,0.519166667
WS10,2013-02-10,0.59185
WS10,2013-02-10,0.295925
WS10,2013-02-10,0
WS10,2013-03-10,35.97825
WS10,2013-03-10,1.785933333
WS10,2013-03-10,8.137210667
WS10,2013-03-10,4.153333333
WS10,2013-04-10,117.124
WS10,2013-04-10,69.9006
WS10,2013-04-10,213.9382
WS10,2013-04-10,318.3265225
WS10,2013-05-10,733.5825
WS10,2013-05-10,167.3793333
WS10,2013-05-10,470.988
WS10,2013-05-10,119.8652
WS10,2013-06-10,152.2092833
WS10,2013-06-10,105.9723
WS10,2013-06-10,38.9375
WS10,2013-06-10,75.59066667
WS10,2013-07-10,6.9776
WS10,2013-07-10,0.851433333
WS10,2013-07-10,10.5287
WS10,2013-07-10,0
